#    Lat.       Lon.           Depth(km)    Vp(km/s)     Vs(km/s)    Rho(g/cm^3)  
     42.8750    -101.1250       1.0000       5.1000       2.5650       2.5740 
     43.1250    -106.8750       1.0000       4.4680       2.2470       2.4806 
     43.1250    -106.6250       1.0000       4.5020       2.2440       2.4860 
     43.1250    -106.3750       1.0000       4.5200       2.2290       2.4888 
     43.1250    -106.1250       1.0000       4.5010       2.2050       2.4858 
     43.1250    -105.8750       1.0000       4.4740       2.1620       2.4816 
     43.1250    -105.6250       1.0000       4.4450       2.1900       2.4770 
     43.1250    -105.3750       1.0000       4.4880       2.1810       2.4838 
     43.1250    -105.1250       1.0000       4.5680       2.1700       2.4962 
     43.1250    -104.8750       1.0000       4.6260       2.1450       2.5051 
     43.1250    -104.6250       1.0000       4.6680       2.1950       2.5114 
     43.1250    -104.3750       1.0000       4.7340       2.2700       2.5213 
     43.1250    -104.1250       1.0000       4.7710       2.3700       2.5267 
     43.1250    -103.8750       1.0000       4.7820       2.4450       2.5283 
     43.1250    -103.6250       1.0000       4.8220       2.5290       2.5342 
     43.1250    -103.3750       1.0000       4.8460       2.5240       2.5377 
     43.1250    -103.1250       1.0000       4.8500       2.5670       2.5382 
     43.1250    -102.8750       1.0000       4.8950       2.6300       2.5448 
     43.1250    -102.6250       1.0000       4.9290       2.5880       2.5496 
     43.1250    -102.3750       1.0000       4.9480       2.5400       2.5524 
     43.1250    -102.1250       1.0000       4.9640       2.5600       2.5547 
     43.1250    -101.8750       1.0000       4.9930       2.5500       2.5588 
     43.1250    -101.6250       1.0000       5.0250       2.5220       2.5634 
     43.1250    -101.3750       1.0000       5.0570       2.5250       2.5679 
     43.1250    -101.1250       1.0000       5.0940       2.4790       2.5732 
     43.3750    -106.8750       1.0000       4.4780       2.2480       2.4822 
     43.3750    -106.6250       1.0000       4.5210       2.2340       2.4889 
     43.3750    -106.3750       1.0000       4.5440       2.2070       2.4925 
     43.3750    -106.1250       1.0000       4.4680       2.1460       2.4806 
     43.3750    -105.8750       1.0000       4.4110       2.1290       2.4715 
     43.3750    -105.6250       1.0000       4.2550       2.1110       2.4459 
     43.3750    -105.3750       1.0000       4.3290       2.0750       2.4582 
     43.3750    -105.1250       1.0000       4.5250       2.0650       2.4895 
     43.3750    -104.8750       1.0000       4.5950       2.0950       2.5003 
     43.3750    -104.6250       1.0000       4.6140       2.2030       2.5032 
     43.3750    -104.3750       1.0000       4.7090       2.2710       2.5175 
     43.3750    -104.1250       1.0000       4.7620       2.3660       2.5254 
     43.3750    -103.8750       1.0000       4.7350       2.4160       2.5214 
     43.3750    -103.6250       1.0000       4.8270       2.5000       2.5349 
     43.3750    -103.3750       1.0000       4.8720       2.5000       2.5414 
     43.3750    -103.1250       1.0000       4.8610       2.5990       2.5398 
     43.3750    -102.8750       1.0000       4.9180       2.6030       2.5481 
     43.3750    -102.6250       1.0000       4.9480       2.5580       2.5524 
     43.3750    -102.3750       1.0000       4.9640       2.5230       2.5547 
     43.3750    -102.1250       1.0000       4.9750       2.5380       2.5562 
     43.3750    -101.8750       1.0000       4.9960       2.5560       2.5592 
     43.3750    -101.6250       1.0000       5.0200       2.4740       2.5626 
     43.3750    -101.3750       1.0000       5.0440       2.5210       2.5661 
     43.3750    -101.1250       1.0000       5.0780       2.5720       2.5709 
     43.6250    -106.8750       1.0000       4.4820       2.1810       2.4828 
     43.6250    -106.6250       1.0000       4.4690       2.1600       2.4808 
     43.6250    -106.3750       1.0000       4.4610       2.1890       2.4795 
     43.6250    -106.1250       1.0000       4.4400       2.1260       2.4762 
     43.6250    -105.8750       1.0000       4.4120       2.0490       2.4717 
     43.6250    -105.6250       1.0000       4.3560       2.0160       2.4626 
     43.6250    -105.3750       1.0000       4.3800       2.0110       2.4665 
     43.6250    -105.1250       1.0000       4.5210       2.0340       2.4889 
     43.6250    -104.8750       1.0000       4.6010       2.0850       2.5013 
     43.6250    -104.6250       1.0000       4.6500       2.1760       2.5087 
     43.6250    -104.3750       1.0000       4.7050       2.2250       2.5169 
     43.6250    -104.1250       1.0000       4.7660       2.3070       2.5260 
     43.6250    -103.8750       1.0000       4.8110       2.3670       2.5326 
     43.6250    -103.6250       1.0000       4.8610       2.3760       2.5398 
     43.6250    -103.3750       1.0000       4.8870       2.4320       2.5436 
     43.6250    -103.1250       1.0000       4.8990       2.4920       2.5453 
     43.6250    -102.8750       1.0000       4.9330       2.5160       2.5502 
     43.6250    -102.6250       1.0000       4.9600       2.5300       2.5541 
     43.6250    -102.3750       1.0000       4.9760       2.5450       2.5564 
     43.6250    -102.1250       1.0000       4.9900       2.5510       2.5584 
     43.6250    -101.8750       1.0000       5.0070       2.5620       2.5608 
     43.6250    -101.6250       1.0000       5.0220       2.5370       2.5629 
     43.6250    -101.3750       1.0000       5.0370       2.5310       2.5651 
     43.6250    -101.1250       1.0000       5.0650       2.5090       2.5690 
     43.8750    -106.8750       1.0000       4.4780       2.1930       2.4822 
     43.8750    -106.6250       1.0000       4.4160       2.1550       2.4723 
     43.8750    -106.3750       1.0000       4.3870       2.1340       2.4677 
     43.8750    -106.1250       1.0000       4.4340       2.0430       2.4752 
     43.8750    -105.8750       1.0000       4.4130       1.9390       2.4719 
     43.8750    -105.6250       1.0000       4.2870       1.9180       2.4513 
     43.8750    -105.3750       1.0000       4.2080       1.9470       2.4380 
     43.8750    -105.1250       1.0000       4.4910       2.0090       2.4842 
     43.8750    -104.8750       1.0000       4.6050       2.1320       2.5019 
     43.8750    -104.6250       1.0000       4.6560       2.2590       2.5096 
     43.8750    -104.3750       1.0000       4.7080       2.3080       2.5174 
     43.8750    -104.1250       1.0000       4.7650       2.3120       2.5258 
     43.8750    -103.8750       1.0000       4.8090       2.3350       2.5323 
     43.8750    -103.6250       1.0000       4.8470       2.3390       2.5378 
     43.8750    -103.3750       1.0000       4.8720       2.4030       2.5414 
     43.8750    -103.1250       1.0000       4.8910       2.4650       2.5442 
     43.8750    -102.8750       1.0000       4.9220       2.5140       2.5486 
     43.8750    -102.6250       1.0000       4.9540       2.5230       2.5532 
     43.8750    -102.3750       1.0000       4.9760       2.5290       2.5564 
     43.8750    -102.1250       1.0000       4.9910       2.5430       2.5585 
     43.8750    -101.8750       1.0000       5.0090       2.5400       2.5611 
     43.8750    -101.6250       1.0000       5.0220       2.5400       2.5629 
     43.8750    -101.3750       1.0000       5.0330       2.5470       2.5645 
     43.8750    -101.1250       1.0000       5.0580       2.5540       2.5681 
     44.1250    -106.8750       1.0000       4.4750       2.1830       2.4817 
     44.1250    -106.6250       1.0000       4.4370       2.1300       2.4757 
     44.1250    -106.3750       1.0000       4.4270       2.0730       2.4741 
     44.1250    -106.1250       1.0000       4.4510       2.0230       2.4779 
     44.1250    -105.8750       1.0000       4.4440       1.9990       2.4768 
     44.1250    -105.6250       1.0000       4.3600       2.0200       2.4633 
     44.1250    -105.3750       1.0000       4.3200       2.0760       2.4567 
     44.1250    -105.1250       1.0000       4.5250       2.1380       2.4895 
     44.1250    -104.8750       1.0000       4.6280       2.2230       2.5054 
     44.1250    -104.6250       1.0000       4.6950       2.3100       2.5155 
     44.1250    -104.3750       1.0000       4.7330       2.3710       2.5211 
     44.1250    -104.1250       1.0000       4.7680       2.3790       2.5263 
